class,category,indicator_name,series_name,sub_series_name,parameter,value,units,date,date_last_updated
Social,Social capital,Institutional trust: police,Total,Percent,2014,          79.200000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,Total,Percent_lower,2014,          78.100000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,Total,Percent_upper,2014,          80.300000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,Total,Percent,2016,          79.600000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,Total,Percent_lower,2016,          78.600000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,Total,Percent_upper,2016,          80.600000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,Total,Percent,2018,          81.300000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,Total,Percent_lower,2018,          80.300000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,Total,Percent_upper,2018,          82.300000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,Total,Percent,2021,          80.000000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,Total,Percent_lower,2021,          78.300000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,Total,Percent_upper,2021,          81.700000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,15–24,2014,          78.000000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,25–34,2014,          74.900000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,35–44,2014,          77.900000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,45–54,2014,          79.800000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,55–64,2014,          79.200000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,65–74,2014,          82.400000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,75+,2014,          88.900000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,15–24_lower,2014,          74.600000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,25–34_lower,2014,          72.000000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,35–44_lower,2014,          75.600000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,45–54_lower,2014,          77.300000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,55–64_lower,2014,          76.300000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,65–74_lower,2014,          79.800000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,75+_lower,2014,          86.500000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,15–24_upper,2014,          81.400000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,25–34_upper,2014,          77.800000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,35–44_upper,2014,          80.200000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,45–54_upper,2014,          82.300000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,55–64_upper,2014,          82.100000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,65–74_upper,2014,          85.000000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,75+_upper,2014,          91.300000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By age,15–24,2016,          76.000000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,25–34,2016,          76.900000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,35–44,2016,          77.900000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,45–54,2016,          81.400000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,55–64,2016,          80.600000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,65–74,2016,          82.900000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,75+,2016,          87.200000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,15–24_lower,2016,          72.100000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,25–34_lower,2016,          74.200000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,35–44_lower,2016,          74.900000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,45–54_lower,2016,          78.900000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,55–64_lower,2016,          78.200000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,65–74_lower,2016,          80.300000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,75+_lower,2016,          84.000000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,15–24_upper,2016,          79.900000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,25–34_upper,2016,          79.600000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,35–44_upper,2016,          80.900000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,45–54_upper,2016,          83.900000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,55–64_upper,2016,          83.000000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,65–74_upper,2016,          85.500000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,75+_upper,2016,          90.400000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By age,15–24,2018,          80.600000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,25–34,2018,          79.500000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,35–44,2018,          81.200000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,45–54,2018,          82.800000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,55–64,2018,          77.800000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,65–74,2018,          83.100000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,75+,2018,          88.300000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,15–24_lower,2018,          77.500000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,25–34_lower,2018,          76.300000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,35–44_lower,2018,          78.800000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,45–54_lower,2018,          80.500000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,55–64_lower,2018,          75.300000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,65–74_lower,2018,          80.700000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,75+_lower,2018,          85.300000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,15–24_upper,2018,          83.700000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,25–34_upper,2018,          82.700000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,35–44_upper,2018,          83.600000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,45–54_upper,2018,          85.100000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,55–64_upper,2018,          80.300000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,65–74_upper,2018,          85.500000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,75+_upper,2018,          91.300000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By age,15–24,2021,          73.300000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,25–34,2021,          74.600000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,35–44,2021,          80.300000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,45–54,2021,          82.300000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,55–64,2021,          81.500000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,65–74,2021,          84.600000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,75+,2021,          91.500000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,15–24_lower,2021,          67.700000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,25–34_lower,2021,          70.300000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,35–44_lower,2021,          76.000000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,45–54_lower,2021,          78.600000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,55–64_lower,2021,          77.800000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,65–74_lower,2021,          80.800000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,75+_lower,2021,          88.300000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,15–24_upper,2021,          78.900000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,25–34_upper,2021,          79.000000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,35–44_upper,2021,          84.600000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,45–54_upper,2021,          86.000000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,55–64_upper,2021,          85.100000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,65–74_upper,2021,          88.300000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By age,75+_upper,2021,          94.800000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By gender,Male,2014,          77.700000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By gender,Female,2014,          80.700000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By gender,Male_lower,2014,          76.100000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By gender,Female_lower,2014,          78.900000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By gender,Male_upper,2014,          79.300000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By gender,Female_upper,2014,          82.500000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By gender,Male,2016,          76.700000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By gender,Female,2016,          82.400000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By gender,Male_lower,2016,          75.200000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By gender,Female_lower,2016,          81.100000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By gender,Male_upper,2016,          78.200000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By gender,Female_upper,2016,          83.700000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By gender,Male,2018,          79.100000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By gender,Female,2018,          83.300000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By gender,Male_lower,2018,          77.600000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By gender,Female_lower,2018,          82.100000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By gender,Male_upper,2018,          80.600000,Percent,2018,29-07-22
