Date,heading,detail,reference,Themes,type
2022-07-05,Omicron subvariant BA.2.75 detected in New Zealand for the first time,"The Omicron subvariant BA.2.75 is detected in New Zealand for the first time, with two cases confirmed as having the variant.  The Ministry of Health states that, at this stage, there is no evidence that BA.2.75 requires a shift in public health settings in place to manage other Omicron variants. Evidence on the variant’s transmissibility, immune evasiveness and severity is still preliminary and emerging. BA.2.75 has characteristics that may enhance its ability to evade immunity, similar to the BA.4 and BA.5 Omicron subvariants, and there is some early evidence overseas that it may be slightly more transmissible than BA.2. There is no current evidence that it leads to more severe disease, although the evidence is at a very early stage. ","(Daalder, 2022c; MOH, 2022q)",Surveillance,Surveillance
2022-07-05,Experts suggest next wave of cases is starting,"A total of 9,629 community cases are reported and various experts state that the next wave is starting, and some suggest reinstating previous COVID-19 protocols, such as moving to the red traffic light setting.","(Daalder, 2022c; MOH, 2022q)",Community outbreak,Outbreak
2022-07-02,Vaccine mandate for border and corrections is removed,"On 28 June 2022, newly appointed COVID-19 Response Minister Dr Ayesha Verrall announces that the Government has ended the requirement for border workers and Corrections staff to be fully vaccinated. As of 23 June 2022, 100% of Corrections staff in prisons and 97% of active border workers were fully vaccinated. The Vaccination Order remains in place for health and disability workers as they continue to have close interactions with people who are at high risk of serious illness from COVID-19. The settings for health and disability workers are reviewed regularly.","(Verrall, 2022d)",Vaccination,Vaccination
2022-06-30,Updated advice for people who develop symptoms after having had COVID-19,"The Ministry of Health updates its advice on re-testing, stating people need to re-test if they develop symptoms more than 28 days after a previous infection. The previous advice was that people did not need to re-test if they had tested positive for COVID-19 within the past 90 days. The Ministry states the latest evidence shows that getting reinfected with COVID-19 can occur within a short period of time, and reinfection will become more likely as new variants spread among the community. If a person develops new COVID-19 symptoms and it is 29 days or more since their last infection, they should take a RAT. If they test positive, this will be considered a reinfection and they must follow the COVID-19 isolation guidelines. If the test is negative and symptoms continue, the person should take another RAT in 48 hours. Household contacts must also isolate, unless they have either had COVID-19 in the last 90 days and recovered, or have been a household contact in the last 10 days. ","(MOH, 2022p)",Testing,Testing
2022-06-28,Unions claim that New Zealand is 4000 nurses short,"Unions claim that New Zealand is 4000 nurses short. This is despite a letter to Ministry of Business, Innovation and Employment (MBIE) sent on 28 July 2021, from the representative of all DHBs in New Zealand, stating that all DHBs were experiencing significant challenges to maintain safe levels of services, which were being exacerbated by workforce supply challenges, and that some hospitals were at ‘code red’. Further, the letter warned there was risk of existing overseas-trained employees leaving due to an inability to secure their futures as residents of New Zealand. The DHB heads asked for current overseas-trained staff to be given a ‘direct and prompt path to residency’ and overseas health professionals facilitated to enter New Zealand as required to ‘avert a crisis in the health sector’.  ","(Neilson, 2022b)",Health Care Services,Health care
2022-06-28,Second booster available to specific groups,"A second COVID-19 booster dose is made available to all people aged 50 years and over; health, aged-care and disability-care workers aged over 30; people aged 16 and over who have a medical condition that increases the risk of severe breakthrough COVID-19 illness; and people aged 16 and over who live with disability with significant or complex health needs or multiple comorbidities. There is a six-month minimum gap between doses. Those recommended to receive priority for the second booster are: people aged 65 and over; Māori and Pacific peoples aged 50 and over; residents of aged care and disability care facilities; and severely immunocompromised people. If a person has had COVID-19, it is recommended they wait three months after testing positive before getting vaccinated.","(MOH, 2022o)",Vaccination,Vaccination
2022-06-23,Chris Hipkins releases public apology for false statements regarding an MIQ applicant,"In February 2022 , then COVID-19 Response Minister Chris Hipkins made false statements about a journalist who attempted to get an emergency MIQ spot on the basis that she was living in Qatar, was pregnant and unmarried (illegal in Qatar) and had fled to Afghanistan. In March 2022, Hipkins formally apologised to the journalist in a letter, but public acknowledgment is not released until 23 June 2022, after the Government decides not to appeal the High Court case (Grounded Kiwis Group Incorporated v Minister of Health [2022]), which held aspects of MIQ to be a breach of NZBORA. Hipkins apologised for incorrectly stating that the journalist had been offered consular assistance, and for releasing personal information (without her consent) about when she arrived in Afghanistan . ","(Neilson, 2022a)",Border control,Border
2022-06-22,Variants of Concern framework released,"The Ministry of Health releases Aotearoa New Zealand’s Strategic Framework for COVID-19 Variants of Concern. The Ministry expects that a new variant of concern will emerge within weeks or months. The strategy builds on the plans and enabling systems used over the last two years. It identifies the ‘contextual factors, range of indicators, and baseline and response measures required to ensure that we are prepared to respond to the emergence of a new variant of concern’. It consists of a list of capabilities that will be useful in tackling any COVID-19 strain, including testing and contact tracing capacity. It also details processes for evaluating the risks from new variants and lays out five potential scenarios. As the introduction of new variants into New Zealand is difficult to predict, the plan is more broad than detailed, as different variants will have different characteristics (e.g. transmissibility, resistance to vaccines or severity of illness). One predominant concern is that officials may not have any warning of a new variant (from observing overseas), as they did with Delta and Omicron. ","(Daalder, 2022b; MOH, 2022n; RNZ, 2022n)",Surveillance,Surveillance
2022-06-20,Pre-departure test requirement for those travelling to New Zealand removed,"From 11:59 pm, travellers to New Zealand no longer need a COVID-19 pre-departure test. COVID-19 Response Minister Dr Ayesha Verrall states that around 90% of international arrivals have been undertaking required testing once they are in the country, with only a 2–3% positivity rate, and the challenges pre-departure tests pose to visitors are now no longer outweighed by the public health benefits.","(Verrall, 2022c)",Border control,Border
2022-06-20,MBIE reveals $800 million was spent on MIQ lease agreements,"Data released to Radio New Zealand shows the Ministry of Business, Innovation and Employment (MBIE) spent nearly $800 million in 18 months on lease agreements for MIQ. The amount MBIE paid each hotel varied significantly depending on the hotel, its location and occupancy. Hotels used as MIQ facilities earned an average of $1.3 million a month. As the hotels selected for MIQ needed to be near medical facilities, almost all were part of large multinational hotel chains, which has caused speculation that MIQ resulted in a large transfer of wealth from New Zealand to overseas tourism industries. The chief executive of the Hotel Council Aotearoa denies this, claiming that many foreign-branded hotels are New Zealand-owned, under franchise arrangements. At the end of the month the final three MIQ facilities will close.","(Todd, 2022)",Border control,Border
2022-06-20,Ministry of Health apologises for duplicate text sent to 6000 people instructing them to isolate,"The Ministry of Health notifies and apologises to approximately 6000 people who were sent a repeat text message, telling them that they had returned a positive COVID-19 test and needed to isolate. These personalised texts were received by people who tested positive within the previous 10 days, duplicating advice they had already received. The Ministry states the duplicate text was a result of a computer glitch over the weekend.","(MOH, 2022m)",Governance,Governance
2022-06-03,First cases of Omicron subvariants BA.4 and BA.5 reported in the community,"Four cases of the Omicron subvariant BA.5 and one case of the subvariant BA.4 are found in the community, all based on whole genome sequencing of tests, with no clear link to the border. There are also seven cases of BA.2.12.1 reported in the community, from genome sequencing  returned on 18 May 2022. These Omicron subvariants are prevalent overseas and have been detected at the border for many weeks. Their presence in the community is not unexpected and further cases are expected. Emerging data suggests BA.2.12.1 is marginally more transmissible than BA.2, the dominant subvariant currently circulating in New Zealand. There is some clinical data to suggest the BA.5 and BA.4 subvariants have increased transmissibility compared to BA.2, but no data suggesting they cause more severe illness.","(MOH, 2022l)",Community outbreak,Outbreak
2022-05-24,Updated My Vaccine Pass available for people who are up-to-date with vaccinations ,"An updated My Vaccine Pass is made available for anyone aged 12 and over who is up to date with their vaccinations,  including boosters for those over 18. In early April 2022 the legal requirement for businesses to use My Vaccine Passes was removed. Some businesses may be voluntarily keeping My Vaccine Pass requirements as a condition of entry. An updated My Vaccine Pass will have an expiry date six months from the date of issue. ","(Hipkins, 2022g)",Vaccination,Vaccination
2022-04-27,High Court ruling states MIQ system breached NZBORA,"The judge in Grounded Kiwis Group Incorporated v Minister of Health [2022] holds that elements of the MIQ system were an unjustified breach of New Zealand citizens’ right of entry into New Zealand, affirmed by s 18(2) of the New Zealand Bill of Rights Act 1990 (NZBORA). Grounded Kiwis is a group that advocates for New Zealanders overseas who were impacted by the restrictions. The group challenged the restrictions between 1 September and 17 December 2021, particularly elements of the voucher system and the determination of emergency applications. The High Court finds that the MIQ system did not sufficiently allow individual circumstances to be considered and prioritised where necessary, and the mechanisms could not appropriately give effect to the right of citizens to enter; a more sophisticated system, which better prioritised those whose right to return was being unreasonably impacted, was reasonably available and would have met the Government’s public health strategy. COVID-19 Response Minister Chris Hipkins responds to the judgement, stating that MIQ was ‘always the least worst option’ to help prevent the spread of COVID-19 in New Zealand. ","(Grounded Kiwis Group Incorporated v Minister of Health [2022]; High Court of New Zealand, 2022; Osborne, 2022)",Border control,Border
2022-04-22,A person tests positive for the second time in 6 weeks,"A 14-year-old with COVID-19 symptoms returns a positive RAT, after a positive PCR test in February. His GP suggests it might be part of the same infection, or he could have caught another variant. Current Ministry guidelines give a three-month exemption for household contacts after testing positive, because it is assumed that the risk of reinfection within three months of having Omicron is very low.","(Henry, 2022)",Community outbreak,Outbreak
2022-04-14,Third treatment drug is approved by Medsafe,"Medsafe approves Lagevrio, a COVID-19 treatment drug, for use in New Zealand. Lagevrio (200mg Molnupiravir capsules) is an anti-viral to be taken as a five-day course within five days of developing symptoms. It is indicated for the treatment of mild to moderate COVID-19 in adults who are at increased risk of progressing to severe disease, hospitalisation or death. People at increased risk include Māori and Pacific peoples, those with complex health needs, the elderly and unvaccinated, and people with disabilities. On 11 October 2021, New Zealand was one of the first countries in the world to secure a deal for Lagevrio, purchasing 60,000 doses. ","(Medsafe, 2022; MOH, 2022k; New Zealand Gazette, 2022b; RNZ, 2022m)",Treatment,Treatment
2022-04-13,Ministry of Health requested RAT suppliers to prioritise Government orders,"Emails released to the NZ Herald under the Official Information Act show the Ministry of Health asked suppliers to prioritise its orders of RATs over those of private businesses. In the case of one test manufacturer, the Ministry asked for the tests to be supplied ‘exclusively’ to the Government while it built up its stocks. This request was made after just 2% of the Ministry's orders for January and February from one supplier were confirmed delivered in late January 2022. In February 2022, a distributor claimed two-thirds of RATs ordered online had not arrived , as they had been requisitioned for Government stocks. The Ministry denied RATs were being requisitioned, but agreed that forward orders of RATS that were not already in New Zealand were being ‘consolidated’ by the Government.","(Coughlan, 2022a; 2022b)",Testing,Testing
2022-04-13,New Zealand moves to orange traffic light setting,"At 11:59 pm, New Zealand moves down from red to orange under the COVID-19 Protection Framework. Under orange there are no indoor capacity limits and the seated-and-separated rule for hospitality venues is lifted. Face masks are still required for workers at public-facing indoor hospitality venues; retail stores; public facilities; public transport; taxis and rideshares like Uber; vet clinics; indoor areas of courts and tribunals; local and central government agencies; social services providers and police stations; NZ Post premises; and healthcare facilities. In schools, students and teachers will no longer have to wear masks.","(Hipkins, 2022f; NZ Herald, 2022g)",Traffic light,Traffic light
2022-04-07,"Booster dose of Pfizer vaccine available for 16–17-year-olds	Following Medsafe’s provisional approval, young people aged 16 and 17 can receive a free booster dose of the Pfizer vaccine at least six months after completing their primary course. The booster is particularly recommended for those at higher risk of severe COVID-19 symptoms and hospitalisation. This includes those who are immunocompromised or living with an immunocompromised family member, and Māori and Pacific youth.","(Hipkins, 2022e)",NA,Vaccination,Vaccination
2022-04-04,Vaccine mandates narrowed,"At 11:59 pm, government vaccine mandates are removed for police, Defence Force staff, education and those covered by My Vaccine Pass. The mandate remains in place for health and care workers, prison staff, and border workers. Workers still covered by the mandate include those who come into close contact with people who are likely to get seriously ill if they get COVID-19. Border workers, including those at MIQ, airports and maritime ports, must be vaccinated because they are likely to be exposed to new variants. Vaccines may still be mandated for certain roles within the police, Defence Force and Fire and Emergency if they work in an environment where vaccines are required, such as alongside paramedics or other health workers. Vaccine passes will no longer be required. On 30 March 2022, WorkSafe New Zealand issued guidance for employers stating that employer vaccination requirements should be used carefully, based on public health advice, and are not a suitable first response for managing COVID-19 in most workplaces. Employees who lost their jobs due to a requirement to get vaccinated will not have a right to get their job back.","(Employment New Zealand, 2022; Hipkins, 2022d; New Zealand Government, 2022m; NZ Herald, 2022f; WorkSafe New Zealand, 2022)",Vaccination,Vaccination
2022-03-25,Changes to traffic light settings ,"All outdoor gathering limits are removed from the traffic light system, and indoor gathering limits increase from a maximum of 100 to 200 under the red light setting. QR codes are no longer used to contact trace, with the exception of high-risk environments like aged care facilities or residential facilities for the vulnerable. ","(RNZ, 2022l)",Traffic light,Traffic light
2022-03-21,Second-youngest person dies from COVID-19,"The death of a person in their 20s is reported. They are the second-youngest person to die from COVID-19 in New Zealand. There are 1000 cases of COVID-19 in hospital, 14,463 new cases in the community and nine deaths reported. ","(New Zealand Government, 2022l; NZ Herald, 2022e)",Community outbreak,Outbreak
2022-03-20,Order issued permitting critical health care workers exemption from isolation requirements,"Director-General of Health Ashley Bloomfield issues a public health order which provides alternative self-isolation requirements for critical health care workers (HCWs) who are confirmed or probable cases of COVID-19. An asymptomatic or mildly symptomatic probable or confirmed case must stand down for three days and take a RAT on Day 3 and Day 4. If both are negative, the HCW may return to work on Day 4. A negative RAT will be required before any/each shift from the day the HCW returns to work, until Day 6. The default position for critical HCWs continuing to test positive is that if positive at Day 9, they may return to work on Day 11. In highly critical service continuity situations, if positive at Day 6, a HCW may return to work on Day 8. In critical situations where all other options have been exhausted, a HCW may return to work from Day 0 but only to work in a COVID-19 ward/unit/situation. The HCW is not under compulsion to work and must agree. Public transport for critical HCWs should only be used as a last resort if no other transport options are available.","(Bloomfield, 2022; MOH, 2022j)",Health Care Services,Health care
2022-03-16,Rapid antigen tests become widely available in schools and early learning centres,"One million RATs are made available to schools, kura and early learning centres to give to symptomatic children, young people and staff, and the people in their households. ","(New Zealand Government, 2022k)",Testing,Testing
2022-03-11,Isolation period for COVID-19 cases and household contacts reduced to seven days,"On 9 March 2022, Minister for COVID-19 Response Chris Hipkins announced that from 11:59 pm on 11 March 2022, the isolation period for a COVID-19 case and their household contacts will be reduced from 10 days to seven days. Household contacts will need to have a RAT test on Day 3 and 7 of their isolation period or if they become symptomatic. If the result is positive, they must isolate for seven days from that point. Recovered cases will not need to self-isolate if they become a household contact within 90 days of testing positive (increased from 28 days). The change aims to balance effectively controlling the outbreak and the flow-on effect for business and essential goods and services.","(Hipkins, 2022b)",Governance,Governance
2022-03-11,Decision ordering vaccination of child released,"In a dispute between two parents regarding the vaccination of their child, the Family Court finds that vaccination is in the child's best interests and orders the child to be vaccinated immediately. The child’s views are taken into account; vaccination is not mandatory for children.","(Holloway v Parsons [2022]; Wilkinson, 2022)",Vaccination,Vaccination
2022-03-10,Novavax vaccine available ,"From 10 March people aged 18 and older are able to book for vaccination with Novavax, the first protein-based COVID-19 vaccine in New Zealand. It requires two doses, with a three-week interval between doses. Minister for COVID-19 Response Chris Hipkins states that Pfizer remains the preferred COVID-19 vaccine in New Zealand. Only 39 sites nationwide are able to deliver Novavax. On 29 March 2022, the Ministry of Health reports that just 1,205 first doses and 143 second doses have been administered. The Director-General of Health states that tens of thousands of doses are set to expire in April.","(Hipkins, 2022b; MOH, 2022i; RNZ, 2022k)",Vaccination,Vaccination
2022-03-08,Omicron sub-variant surpasses original variant,"Cases of Omicron sub-variant BA.2 outnumber original sub-variant BA.1 for the first time. BA.1 had been the prevalent sub-variant of Omicron circulating in New Zealand. This follows overseas trends, and is considered to be due to a likely transmission advantage of BA.2. BA.2 is nicknamed ‘stealth Omicron’ as it does not have the missing target gene of BA. Initial and unconfirmed estimates suggest BA.2 is 30–50% more contagious. Experts suggest that the widespread use of RATs and self-reporting means a higher likelihood of under-reporting, presenting an inaccurate picture of the progression of Omicron.","(Morton, 2022)",Community outbreak,Outbreak
2022-03-08,Number of new community cases reaches its peak ,"The Omicron outbreak reaches its peak as 23,894 new community cases of COVID-19 are reported –the highest ever number of daily cases. After this, cases begin to decline. ","(MOH, 2022h; WHO, n.d.)",Community outbreak,Outbreak
2022-03-02,23-day protest at Parliament ends ,"After anti-vaccine-mandate protesters occupy Parliament for 23 days, police launch an operation to reclaim Parliament grounds. Throughout the day, many instances of violence take place as police remove protesters from the area. Protesters light fires, set off explosions and use weapons such as bricks and fire extinguishers against police. The Parliament playground slide, which cost $242,000, is burnt down by protesters. Police wear riot gear, administer pepper spray, use fire hoses on protesters and remove tents, barriers and signs. 500 police staff are involved in the operation, with 40 sustaining injuries, and eight requiring hospital treatment. By the evening, police have cleared Molesworth Street of all protester vehicles, towing 50 vehicles. The following day, police report 100 people have been arrested on charges including arson, grievous bodily harm, inciting violence, theft, assault, trespass and obstruction. Prime Minister Jacinda Ardern signals there will be a review of the protest occupation at Parliament to determine if more could have been done to prevent it from happening. A fund established by Wellington City Council and the Government will allow businesses that lost revenue because of the occupation to access $1.2 million of relief funding. Businesses in the area surrounding Parliament that experienced a drop of 50% or more in their revenue during the occupation can apply for a one-off payment of up to $30,000. In May 2022, Wellington City Council reveals $335,000 was spent on the clean-up of Council land and property, and the police reveal they spent over $2.5 million on expenses including travel, accommodation, food, vehicles and equipment during the protest.","(Campbell, 2022; Green, 2022; Hewett & Sadler, 2022; New Zealand Police, 2022a; 2022b; RNZ, 2022j; Scotcher, 2022; Wakefield, 2022; WCC, n.d.)",Governance,Governance
2022-03-01,Second treatment drug is approved by Medsafe,"Medsafe approves Paxlovid, a COVID-19 treatment drug, for use in New Zealand. Paxlovid comes in tablet form, to be taken over a five-day course within five days of developing symptoms. The drug is intended for adults aged 18 or older who do not require supplemental oxygen due to COVID-19 and are at increased risk of progression to hospitalisation or death. People at increased risk include Māori and Pacific peoples, those with complex health needs, the elderly and unvaccinated, and people with disabilities. On 31 March 2022, Minister of Health Andrew Little announces that 60,000 courses of Paxlovid have arrived, which will begin to be used the following week. ","(Little, 2022a; Medsafe, 2022; MOH, 2022g; New Zealand Gazette, 2022a)",Treatment,Treatment
2022-03-01,"Third COVID-19 vaccine, Novavax, approved","The Novavax COVID-19 vaccine will be available to people aged 18 and over who wish to have a different vaccine option. Novavax is not approved as a booster vaccine, unlike Pfizer and AstraZeneca.","(Hipkins, 2022a; MOH, 2022f)",Vaccination,Vaccination
2022-02-25,Ministry of Health releases guidance for critical workers and using RATs,"As RATs are the primary means of testing under phase three of the Omicron response, the Ministry releases guidance for access to RATs by critical workers under the Close Contact Exemption Scheme (CCES). Phase Three no longer requires close contacts to isolate, but the CCES allows household contacts who are critical workers (who would otherwise be required to isolate) to continue working if they return a negative RAT . There are two models for accessing free RATs by critical workers : the first is centralised distribution accessed through employers (such as healthcare and emergency service workforces); and the second is decentralised distribution through collection sites.","(MOH, 2022e)",Testing,Testing
